CustomerID,Frequency,Recency,AveragePurchaseAmount,Cluster
12346.0,2,326,0.0,High Value Customer
12347.0,7,40,23.681318681318665,Medium-Value Customers
12348.0,4,76,57.97548387096774,Medium-Value Customers
12349.0,1,19,24.076027397260273,Medium-Value Customers
12350.0,1,311,19.67058823529412,High Value Customer
12352.0,11,73,16.267473684210533,Medium-Value Customers
12353.0,1,204,22.25,High Value Customer
12354.0,1,233,18.610344827586207,High Value Customer
12355.0,1,96,35.33846153846154,Medium-Value Customers
12356.0,3,23,47.6513559322034,Medium-Value Customers
12357.0,1,182,47.38679389312974,High Value Customer
12358.0,2,3,61.47684210526315,Medium-Value Customers
12359.0,6,9,24.5887007874016,Medium-Value Customers
12360.0,3,53,20.636124031007753,Medium-Value Customers
12361.0,1,288,18.99,High Value Customer
12362.0,13,12,18.812335766423363,Medium-Value Customers
12363.0,2,36,24.0,Medium-Value Customers
12364.0,4,41,15.448235294117648,Medium-Value Customers
12365.0,3,292,13.94304347826087,High Value Customer
12367.0,1,212,15.354545454545455,High Value Customer
12370.0,4,52,21.231676646706575,Medium-Value Customers
12371.0,2,30,29.967619047619053,Medium-Value Customers
12372.0,3,35,24.962307692307697,Medium-Value Customers
12373.0,1,342,26.042857142857144,High Value Customer
12374.0,1,26,22.513030303030302,Medium-Value Customers
12375.0,3,11,25.30111111111112,Medium-Value Customers
12377.0,2,316,21.14441558441558,High Value Customer
12378.0,1,305,18.304200913242013,High Value Customer
12379.0,3,82,20.73878048780487,Medium-Value Customers
12380.0,5,22,25.910095238095238,Medium-Value Customers
12381.0,6,0,19.82373626373627,Medium-Value Customers
12383.0,6,9,18.393099999999997,Medium-Value Customers
12384.0,3,29,18.872,Medium-Value Customers
12386.0,2,192,40.190000000000005,High Value Customer
12388.0,6,16,27.806600000000003,Medium-Value Customers
12390.0,1,80,17.182499999999997,Medium-Value Customers
12391.0,1,22,4.608899999999999,Medium-Value Customers
12393.0,4,39,24.728125000000006,Medium-Value Customers
12394.0,2,153,47.12888888888889,High Value Customer
12395.0,15,5,18.857106918238987,Medium-Value Customers
12397.0,2,136,19.12619047619048,High Value Customer
12398.0,1,46,19.24305882352941,Medium-Value Customers
12399.0,4,2,18.790677966101697,Medium-Value Customers
12401.0,1,99,16.86,Medium-Value Customers
12402.0,1,324,20.509090909090908,High Value Customer
12403.0,2,50,68.28333333333333,Medium-Value Customers
12405.0,1,149,31.6738888888889,High Value Customer
12406.0,3,22,30.377314814814827,Medium-Value Customers
12407.0,5,50,22.18337662337662,Medium-Value Customers
12408.0,9,128,25.155486725663717,Medium-Value Customers
